Corr,Lag,Amp,Decay_Var,BW1,BW2,BW3,E12,E23,E13,Label
0.0695546261741903,0.5714285714285714,0.0,0.8761005870255312,0.6875,0.6875,0.6875,0.8707552539847776,0.8136931823185578,0.8152888732244271,0
0.0985003789316206,0.4142857142857142,0.0927250408973648,0.5426111236584021,0.75,0.75,0.75,0.8328160318028761,0.850030651415808,0.8264429008598219,0
0.0927689329847886,0.5714285714285714,0.3305123423796704,0.4980769733888288,0.8125,0.8125,0.8125,0.84484854067183,0.9364525879752764,0.9074566241975908,0
0.0970704113197629,0.5714285714285714,0.1922725179647285,0.7446854645847167,0.6875,0.6875,0.6875,0.871688758786439,0.867689583009494,0.8629864087951838,0
0.1329458261850867,0.5714285714285714,0.3138650784004732,0.5804083872791472,0.875,0.875,0.875,0.7846119502582183,0.905403106638588,0.84644932173758,0
0.0589377108863688,0.6857142857142856,0.0646385383919389,0.2770153877615084,0.8125,0.8125,0.8125,0.9011071582237098,0.9420828662754536,0.9452502737769968,0
0.1240725260676894,0.5714285714285714,0.0523734422828682,0.3833237538507942,0.9375000000000018,0.9375000000000018,0.9375000000000018,0.8345920876926782,0.8845660732757841,0.857006859756582,0
0.1409025024355825,0.5714285714285714,0.5352920115648566,0.920309930267476,0.6875,0.6875,0.6875,0.7472881141021177,0.8874987004048511,0.8106064789653004,0
0.0663683094080926,0.5714285714285714,0.1470017427137103,0.7244421311234485,0.8125,0.8125,0.8125,0.8666399254484671,0.9581920875328096,0.93911440949901,0
0.1115788576648189,0.5714285714285714,0.0661653275418948,0.0447083641742109,0.875,0.875,0.875,0.8494373687050603,0.9568065151289368,0.92771640806359,0
0.145957379212204,0.5714285714285714,0.4388524465792781,0.520870577329474,0.875,0.875,0.875,0.751789023734448,0.9103156626140368,0.8318097997247232,0
0.0924790901608404,0.5714285714285714,0.4626020173563877,0.911696240128629,0.875,0.875,0.875,0.8653772880093957,0.9956616024250248,0.971013988408573,0
0.1454982429472557,0.5714285714285714,0.4170625283652563,0.415533141246756,0.8125,0.8125,0.8125,0.8288468942037934,0.9970977458145804,0.9499454308245692,0
0.1519898907229783,0.5714285714285714,0.0288752217075735,0.1082602934434525,0.8125,0.8125,0.8125,0.8000439283722325,0.9639646903894608,0.9044789857770212,0
0.165429958023839,0.4142857142857142,0.3899787660775816,0.6145790154919422,0.75,0.75,0.75,0.7401257652534416,0.9039376010905588,0.8199643825317096,0
0.106937650347282,0.5714285714285714,0.0993819576296203,0.3820861277751408,0.75,0.75,0.75,0.8258113893840402,0.9229310126968746,0.8848251914800654,0
0.1026844185722656,0.6857142857142856,0.1174054136297778,0.5522720342666313,0.8125,0.8125,0.8125,0.8520203881086819,1.0,0.9666152147799526,0
0.0991697687715972,0.5714285714285714,0.0695171475508052,0.2301333775126452,0.875,0.875,0.875,0.8610033041750529,0.9809791976832134,0.95558091458433,0
0.0,0.6857142857142856,0.0713540448449417,0.7675248086132249,0.8125,0.8125,0.875,0.9754883043229596,0.9542233463528156,1.0000000000000002,0
0.1193517813030548,0.5714285714285714,0.4888885316834183,0.4942458747571391,0.875,0.875,0.875,0.8273906862718219,0.9645468769447908,0.9212654242773468,0
0.1828469600033868,0.5714285714285714,0.4706630308568315,0.5746138793542936,0.8125,0.8125,0.8125,0.7170305884442367,0.8806334235450128,0.7881434999220185,0
0.1200382130245557,0.5714285714285714,0.0993345677333233,0.6754842540412318,0.8125,0.8125,0.8125,0.8001343953215567,0.9313353797179278,0.8770872452971613,0
0.0837344758473658,0.5714285714285714,0.0591205497673873,0.6171358832276359,0.625,0.625,0.625,0.843149238542866,0.9243693930406645,0.8960619114482761,0
0.1271945741997535,0.5714285714285714,0.4685196339314789,0.6590649573941556,0.875,0.875,0.875,0.8214442175839363,0.9648435554819444,0.9179742149713548,0
0.1126140606155068,0.5714285714285714,0.0611761482890046,0.3637028918385628,0.875,0.875,0.875,0.7797969505802131,0.9043580886408848,0.8428425535253082,0
0.1032526746788794,0.5714285714285714,0.2495324974983029,0.6812323511922582,0.8125,0.8125,0.8125,0.8431711663976076,0.9979722763036364,0.95945051569111,0
0.0853942084188486,0.5714285714285714,0.1018620797602546,0.2812002338436105,0.875,0.875,0.875,0.8240223976550127,0.8071038901850711,0.7850868153146766,0
0.1233869140399106,0.3,0.0215474011645823,0.195244757873282,0.9375000000000018,0.9375000000000018,0.9375000000000018,0.7611277057174244,0.8441546940060152,0.7826847692352653,0
0.0868417341452645,0.5714285714285714,0.4668322522952867,0.7361446162894897,0.875,0.875,0.875,0.7648020891727354,0.8627538154979741,0.8000099238179198,0
0.0850139275494881,0.5714285714285714,0.1097285776685622,0.4623363804407996,0.6875,0.6875,0.6875,0.8264808264276728,0.9600046758114502,0.9168472244104372,0
0.8712175818771949,0.657142857142857,0.3937443417710978,0.3052911585033745,0.625,0.625,0.625,0.1284335322972858,0.403835492484875,0.2074143186475016,10
0.8464600092992213,0.4571428571428571,0.3089527519395582,0.6367120159806807,0.5625,0.5625,0.5625,0.139813004056716,0.3633263665593741,0.1895490165249632,10
0.8206479651760329,0.4571428571428571,0.5174198584279003,0.4400973415366233,0.6875,0.6875,0.6875,0.1782051379474969,0.4098019072390257,0.2274597396095839,10
0.8560586038230474,0.657142857142857,0.7435343615389082,0.6798479666673329,0.625,0.625,0.625,0.1714377503146977,0.4175400388038942,0.2294215700875566,10
0.8658333305424347,0.657142857142857,0.3078358750114806,0.4706985232243543,0.6875,0.6875,0.6875,0.1435483467135796,0.3655940913731599,0.1919539761179382,10
0.8213904123935315,0.657142857142857,0.2992432816445215,0.7416649468896197,0.6875,0.6875,0.6875,0.1723488597803197,0.3676621855055398,0.2022720118015876,10
0.8412424967609239,0.657142857142857,0.3449088606832952,0.5150840041414737,0.6875,0.6875,0.6875,0.1620369051926555,0.3774486731410195,0.2043170449279631,10
0.8264487601724494,0.657142857142857,0.3386458792322023,0.8338503137310299,0.625,0.625,0.625,0.1668034931001156,0.3724621955291072,0.2031297496720049,10
0.845742335320503,0.2571428571428571,0.3417449465257446,0.3887159729465009,0.5,0.5,0.5,0.1603140355221552,0.3975605786882337,0.2147197074967739,10
0.8796157189911017,0.4999999999999999,0.3044540520013162,0.3889890121285559,0.6875,0.6875,0.6875,0.1249244138593921,0.3574129780673762,0.1816932967931478,10
0.8899056404034021,0.4999999999999999,0.3015085310109721,0.5982398241224778,0.6875,0.6875,0.6875,0.1166111496159565,0.3761146171042024,0.1888894973723978,10
0.851720049723529,0.657142857142857,0.3191731023941661,0.8921967140105341,0.625,0.625,0.625,0.1767864464655995,0.3926234813392773,0.2174851281487947,10
0.8494420837577829,0.657142857142857,0.3225638505719851,0.3818949532419069,0.625,0.625,0.625,0.1727175150670323,0.4060995444114403,0.2235593442959849,10
0.8860878555904835,0.657142857142857,0.4294136176340145,0.7883834394347662,0.6875,0.6875,0.6875,0.1152324741073298,0.3764325593983375,0.1886100177832964,10
0.8705276248638759,0.4999999999999999,0.6985737158494248,0.2465274846900893,0.6875,0.6875,0.6875,0.1594557461636565,0.4106051019073483,0.2215376949370822,10
0.8525839545099446,0.4571428571428571,0.3271849637318135,0.6898746789230035,0.5625,0.5625,0.5625,0.1809150108743573,0.3860740274732244,0.2152206649762578,10
0.8713288866537364,0.4999999999999999,0.6819754375332426,0.5643426482802238,0.375,0.375,0.375,0.1412269020063832,0.3819253339257069,0.1999705356353662,10
0.8735566549240011,0.657142857142857,0.4654374326442193,0.5947053546813025,0.625,0.625,0.625,0.1755883806610789,0.4105234910535982,0.2269705528399196,10
0.9045145319598564,0.4999999999999999,0.3566986721988624,0.6369045346888695,0.5625,0.5625,0.5625,0.1738499680310672,0.4451930029497652,0.2454928319126671,10
0.8957041965596785,0.4999999999999999,0.4424973140822551,0.2059122640738056,0.6875,0.6875,0.6875,0.1251888515410375,0.4033547487058945,0.2060685417090992,10
0.8523017634686515,0.4999999999999999,0.6799567725873902,0.4091626431416613,0.6875,0.6875,0.6875,0.1824459862712459,0.4034459137027308,0.2253689646536592,10
0.8871313804864519,0.4999999999999999,0.2651299777488803,0.6116145142749132,0.6875,0.6875,0.6875,0.1603534561737252,0.3868598423306305,0.2089006283493638,10
0.901083927977718,0.4999999999999999,0.6939467228692345,0.7448577305149331,0.6875,0.6875,0.6875,0.1254071215722509,0.396375274415705,0.2024507834426878,10
0.8887013978057435,0.4999999999999999,0.6131382661740618,0.6162744810334346,0.5,0.5,0.5,0.172843117451531,0.4340357748889603,0.2389893107678091,10
0.8696433112943268,0.4999999999999999,0.3947379620900973,0.5103865983462829,0.4375,0.4375,0.4375,0.1552340112286834,0.386970644049677,0.2072786855821243,10
0.8768266395486378,0.4999999999999999,0.706525154785628,0.807667250051294,0.6875,0.6875,0.6875,0.1517590505483979,0.4153757018943309,0.2215053910350502,10
0.8875153448424898,0.4999999999999999,0.4132506747247882,0.5376934109323995,0.5625,0.5625,0.5625,0.1894850962312262,0.4533499544574298,0.2556078664502363,10
0.8979128731516753,0.3428571428571428,0.7008277012279144,0.7653422146949427,0.6875,0.6875,0.6875,0.1364132639782502,0.4257930553594979,0.221823122772118,10
0.8669403205196812,0.657142857142857,0.3302502936392072,0.6462235516396095,0.6875,0.6875,0.6875,0.1875623078470263,0.4273474958230639,0.2404173608703107,10
0.8639651965675551,0.657142857142857,0.282175160403347,0.6781960116750143,0.6875,0.6875,0.6875,0.1711382547807072,0.3874715614386254,0.212780594801937,10
0.7861059731057859,0.4571428571428571,0.3933189202670429,0.7439929012267146,0.5625,0.5625,0.5625,0.260967368840985,0.7310931363339528,0.4456060828238519,20
0.7396584914109251,0.6142857142857142,0.2510605992947993,0.4144140065417111,0.8125,0.8125,0.8125,0.2388731841417162,0.7397127337595575,0.4398378833440798,20
0.7924507840581697,0.4999999999999999,0.727454044890156,0.4020375775899909,0.75,0.75,0.75,0.2745241776539759,0.8124098452850199,0.5008371216012232,20
0.784344332904184,0.3857142857142857,0.2405973206077724,0.9801245385139028,1.0,1.0,1.0,0.2623842915204122,0.7642203617371346,0.4659170533937941,20
0.752855557323097,0.4999999999999999,0.2735241694904787,0.6315628988415868,0.75,0.75,0.75,0.2384876807662979,0.7486312383389357,0.4448316330029926,20
0.8033502731827741,0.4999999999999999,0.6662115253743147,0.377977227815083,0.75,0.75,0.75,0.2713065587702792,0.818057212088835,0.5025141906149756,20
0.7845487857793315,0.657142857142857,0.2726057275212824,0.501584913940861,0.75,0.75,0.75,0.268326769897576,0.7833853197911611,0.480310600199832,20
0.7580275010150618,0.4571428571428571,0.1842194363628392,0.4602341727603286,0.6875,0.6875,0.6875,0.2346401355908387,0.7743531439618643,0.4578268253081824,20
0.7889120219081284,0.4571428571428571,0.5470413556413708,0.3704081727946951,0.5,0.5,0.5,0.2864626211190744,0.8605752314136317,0.5361738086978522,20
0.8148722953865034,0.657142857142857,0.5417775230836971,0.5825663250275346,0.6875,0.6875,0.6875,0.2682472720667617,0.8278901186084193,0.5067487271715885,20
0.7630789929761265,0.6142857142857142,0.2148526497581865,0.4936178178374936,0.8125,0.8125,0.8125,0.2455289629859205,0.8132390086495833,0.4860842110700352,20
0.7719330509210004,0.657142857142857,0.5135372310380714,0.5406359904868838,0.75,0.75,0.75,0.2878253911579402,0.8620979832370801,0.5378401313451449,20
0.7802489917688668,0.4999999999999999,0.6371691835100192,0.3535833009326948,0.75,0.75,0.75,0.2913470034683147,0.8694850953290725,0.544245843985727,20
